id,identifier,generation
10128,lurantis-totem,7
10129,salazzle-totem,7
10146,kommo-o-totem,7
10153,araquanid-totem,7
10154,togedemaru-totem,7
10158,pikachu-starter,7
10159,eevee-starter,7
10181,zygarde-10,7
10182,cramorant-gulping,8
10183,cramorant-gorging,8
10264,koraidon-limited-build,Unknown
10265,koraidon-sprinting-build,Unknown
10266,koraidon-swimming-build,Unknown
10267,koraidon-gliding-build,Unknown
10268,miraidon-low-power-mode,Unknown
10269,miraidon-drive-mode,Unknown
10270,miraidon-aquatic-mode,Unknown
10271,miraidon-glide-mode,Unknown
10278,clefable-mega,9
10280,starmie-mega,9
10282,meganium-mega,9
10283,feraligatr-mega,9
10284,skarmory-mega,9
10285,froslass-mega,9
10286,emboar-mega,9
10287,excadrill-mega,9
10288,scolipede-mega,9
10289,scrafty-mega,9
10290,eelektross-mega,9
10291,chandelure-mega,9
10292,chesnaught-mega,9
10293,delphox-mega,9
10294,greninja-mega,9
10295,pyroar-mega,9
10296,floette-mega,9
10297,malamar-mega,9
10298,barbaracle-mega,9
10299,dragalge-mega,9
10300,hawlucha-mega,9
10301,zygarde-mega,9
10302,drampa-mega,9
10303,falinks-mega,9
10304,raichu-mega-x,9
10305,raichu-mega-y,9
10306,chimecho-mega,9
10307,absol-mega-z,9
10308,staraptor-mega,9
10309,garchomp-mega-z,9
10310,lucario-mega-z,9
10311,heatran-mega,9
10312,darkrai-mega,9
10313,golurk-mega,9
10314,meowstic-mega,9
10315,crabominable-mega,9
10316,golisopod-mega,9
10317,magearna-mega,9
10318,magearna-original-mega,9
10319,zeraora-mega,9
10320,scovillain-mega,9
10321,glimmora-mega,9
10322,tatsugiri-curly-mega,9
10323,tatsugiri-droopy-mega,9
10324,tatsugiri-stretchy-mega,9
10325,baxcalibur-mega,9
