id,identifier,generation
10004,wormadam-sandy,4
10005,wormadam-trash,4
10006,shaymin-sky,4
10008,rotom-heat,4
10009,rotom-wash,4
10010,rotom-frost,4
10011,rotom-fan,4
10012,rotom-mow,4
10027,pumpkaboo-small,6
10028,pumpkaboo-large,6
10029,pumpkaboo-super,6
10030,gourgeist-small,6
10031,gourgeist-large,6
10032,gourgeist-super,6
10121,gumshoos-totem,7
10122,vikavolt-totem,7
10128,lurantis-totem,7
10129,salazzle-totem,7
10130,minior-orange-meteor,7
10131,minior-yellow-meteor,7
10132,minior-green-meteor,7
10133,minior-blue-meteor,7
10134,minior-indigo-meteor,7
10135,minior-violet-meteor,7
10144,mimikyu-totem-disguised,7
10145,mimikyu-totem-busted,7
10146,kommo-o-totem,7
10150,ribombee-totem,7
10151,rockruff-own-tempo,7
10153,araquanid-totem,7
10154,togedemaru-totem,7
10158,pikachu-starter,7
10159,eevee-starter,7
10264,koraidon-limited-build,Unknown
10265,koraidon-sprinting-build,Unknown
10266,koraidon-swimming-build,Unknown
10267,koraidon-gliding-build,Unknown
10268,miraidon-low-power-mode,Unknown
10269,miraidon-drive-mode,Unknown
10270,miraidon-aquatic-mode,Unknown
10271,miraidon-glide-mode,Unknown
10278,clefable-mega,9
10280,starmie-mega,9
10282,meganium-mega,9
10283,feraligatr-mega,9
10284,skarmory-mega,9
10285,froslass-mega,9
10286,emboar-mega,9
10287,excadrill-mega,9
10288,scolipede-mega,9
10289,scrafty-mega,9
10290,eelektross-mega,9
10291,chandelure-mega,9
10292,chesnaught-mega,9
10293,delphox-mega,9
10294,greninja-mega,9
10295,pyroar-mega,9
10296,floette-mega,9
10297,malamar-mega,9
10298,barbaracle-mega,9
10299,dragalge-mega,9
10300,hawlucha-mega,9
10301,zygarde-mega,9
10302,drampa-mega,9
10303,falinks-mega,9
10304,raichu-mega-x,9
10305,raichu-mega-y,9
10306,chimecho-mega,9
10307,absol-mega-z,9
10308,staraptor-mega,9
10309,garchomp-mega-z,9
10310,lucario-mega-z,9
10311,heatran-mega,9
10312,darkrai-mega,9
10313,golurk-mega,9
10314,meowstic-mega,9
10315,crabominable-mega,9
10316,golisopod-mega,9
10317,magearna-mega,9
10318,magearna-original-mega,9
10319,zeraora-mega,9
10320,scovillain-mega,9
10321,glimmora-mega,9
10322,tatsugiri-curly-mega,9
10323,tatsugiri-droopy-mega,9
10324,tatsugiri-stretchy-mega,9
10325,baxcalibur-mega,9
